time,motor_angle,pendulum_angle,rpm,current
0.001,0.000,0.000,0.000,0.000
0.025,0.000,0.000,0.000,0.000
0.046,0.000,0.000,0.000,0.000
0.067,0.000,0.000,0.000,0.000
0.088,0.000,0.000,0.000,0.000
0.109,0.000,0.000,0.000,0.000
0.130,0.000,0.000,0.000,0.000
0.151,0.000,0.000,0.000,0.000
0.172,0.000,0.000,0.000,0.000
0.193,0.000,0.000,0.000,0.000
0.214,0.000,0.000,0.000,0.000
0.235,0.000,0.000,0.000,0.000
0.256,0.000,0.000,0.000,0.000
0.278,0.000,0.000,0.000,0.000
0.299,0.000,0.000,0.000,0.000
0.320,0.000,0.000,0.000,0.000
0.341,0.000,0.000,0.000,0.000
0.363,0.000,0.000,0.000,0.000
0.384,0.000,0.000,0.000,0.000
0.405,0.000,0.000,0.000,0.000
0.426,0.000,0.000,0.000,0.000
0.447,0.000,0.000,0.000,0.000
0.468,0.000,0.000,0.000,0.000
0.489,0.000,0.000,0.000,0.000
0.510,0.000,0.000,0.000,0.000
0.531,0.000,0.000,0.000,0.000
0.553,0.000,0.000,0.000,0.000
0.574,0.000,0.000,0.000,0.000
0.596,0.000,0.000,0.000,0.000
0.617,0.000,0.000,0.000,0.000
0.638,0.000,0.000,0.000,0.000
0.659,0.000,0.000,0.000,0.000
0.680,0.000,0.000,0.000,0.000
0.701,0.000,0.000,0.000,0.000
0.723,0.000,0.000,0.000,0.000
0.744,0.000,0.000,0.000,0.000
0.765,0.000,0.000,0.000,0.000
0.786,0.000,0.000,0.000,0.000
0.807,0.000,0.000,0.000,0.000
0.828,0.000,0.000,0.000,0.000
0.849,0.000,0.000,0.000,0.000
0.870,0.000,0.000,0.000,0.000
0.891,0.000,0.000,0.000,0.000
0.912,0.000,0.000,0.000,0.000
0.933,0.000,0.000,0.000,0.000
0.954,0.000,0.000,0.000,0.000
0.975,0.000,0.000,0.000,0.000
0.997,0.000,0.000,0.000,0.000
1.018,0.000,0.000,0.000,0.000
1.039,0.000,0.000,0.000,0.000
1.061,0.000,0.000,0.000,0.000
1.082,0.000,0.000,0.000,0.000
1.103,0.000,0.000,0.000,0.000
1.124,0.000,0.000,0.000,0.000
1.145,0.000,0.000,0.000,0.000
1.166,0.000,0.000,0.000,0.000
1.187,0.000,0.000,0.000,0.000
1.208,0.000,0.000,0.000,0.000
1.229,0.000,0.000,0.000,0.000
1.250,0.000,0.000,0.000,0.000
1.271,0.000,0.000,0.000,0.000
1.292,0.000,0.000,0.000,0.000
1.313,0.000,0.000,0.000,0.000
1.334,0.000,0.000,0.000,0.000
1.355,0.000,0.000,0.000,0.000
1.376,0.000,0.000,0.000,0.000
1.397,0.000,0.000,0.000,0.000
1.417,0.000,0.000,0.000,0.000
1.438,0.000,0.000,0.000,0.000
1.459,0.000,0.000,0.000,0.000
1.480,0.000,0.000,0.000,0.000
1.501,0.000,0.000,0.000,0.000
1.522,0.000,0.000,0.000,0.000
1.543,0.000,0.000,0.000,0.000
1.564,0.000,0.000,0.000,0.000
1.586,0.000,0.000,0.000,0.000
1.608,0.000,0.000,0.000,0.000
1.629,0.000,0.000,0.000,0.000
1.650,0.000,0.000,0.000,0.000
1.671,0.000,0.000,0.000,0.000
1.692,0.000,0.000,0.000,0.000
1.714,0.000,0.000,0.000,0.000
1.736,0.000,0.000,0.000,0.000
1.757,0.000,0.000,0.000,0.000
1.778,0.000,0.000,0.000,0.000
1.799,0.000,0.000,0.000,0.000
1.820,0.000,0.000,0.000,0.000
1.841,0.000,0.000,0.000,0.000
1.863,0.000,0.000,0.000,0.000
1.884,0.000,0.000,0.000,0.000
1.905,0.000,0.000,0.000,0.000
1.926,0.000,0.000,0.000,0.000
1.947,0.000,0.000,0.000,0.000
1.968,0.000,0.000,0.000,0.000
1.989,0.000,0.000,0.000,0.000
2.011,0.000,0.000,0.000,0.000
2.032,0.000,0.000,0.000,0.000
2.053,0.000,0.000,0.000,0.000
2.075,0.000,0.000,0.000,0.000
2.097,0.000,0.000,0.000,0.000
2.118,0.000,0.000,0.000,0.000
2.139,0.000,0.000,0.000,0.000
2.160,0.000,0.000,0.000,0.000
2.181,0.000,0.000,0.000,0.000
2.202,0.000,0.000,0.000,0.000
2.223,0.000,0.000,0.000,0.000
2.245,0.000,0.000,0.000,0.000
2.266,0.000,0.000,0.000,0.000
2.287,0.000,0.000,0.000,0.000
2.309,0.000,0.000,0.000,0.000
2.330,0.000,0.000,0.000,0.000
2.351,0.000,0.000,0.000,0.000
