time,motor_angle,pendulum_angle,rpm,current
0.003,0.000,0.170,0.000,0.000
0.024,0.000,0.000,0.000,0.000
0.045,0.000,0.000,0.000,0.000
0.065,0.000,0.000,0.000,0.000
0.086,0.000,0.000,0.000,0.000
0.107,0.000,0.000,0.000,0.000
0.128,0.000,0.000,0.000,0.000
0.149,0.000,0.000,0.000,0.000
0.171,0.000,0.000,0.000,0.000
0.192,0.000,0.000,0.000,0.000
0.214,0.000,0.000,0.000,0.000
0.235,0.000,0.000,0.000,0.000
0.256,0.000,0.000,0.000,0.000
0.278,0.000,0.000,0.000,0.000
0.299,0.000,0.000,0.000,0.000
0.320,0.000,0.000,0.000,0.000
0.341,0.000,0.000,0.000,0.000
0.362,0.000,0.000,0.000,0.000
0.384,0.000,0.000,0.000,0.000
0.405,0.000,0.000,0.000,0.000
0.426,0.000,0.000,0.000,0.000
0.449,0.000,0.000,0.000,0.000
0.470,0.000,0.000,0.000,0.000
0.491,0.000,0.000,0.000,0.000
0.512,0.000,0.000,0.000,0.000
0.533,0.000,0.000,0.000,0.000
0.554,0.000,0.000,0.000,0.000
0.575,0.000,0.000,0.000,0.000
0.596,0.000,0.000,0.000,0.000
0.616,0.000,0.000,0.000,0.000
0.638,0.000,0.000,0.000,0.000
0.659,0.000,0.000,0.000,0.000
0.681,0.000,0.000,0.000,0.000
0.703,0.000,0.000,0.000,0.000
0.725,0.000,0.000,0.000,0.000
0.746,0.000,0.000,0.000,0.000
0.768,0.000,0.000,0.000,0.000
0.790,0.000,0.000,0.000,0.000
0.812,0.000,0.000,0.000,0.000
0.833,0.000,0.000,0.000,0.000
0.853,0.000,0.000,0.000,0.000
0.874,0.000,0.000,0.000,0.000
0.895,0.000,0.000,0.000,0.000
0.917,0.000,0.000,0.000,0.000
0.939,0.000,0.000,0.000,0.000
0.961,0.000,0.000,0.000,0.000
0.982,0.000,0.000,0.000,0.000
1.003,0.000,0.000,0.000,0.000
1.024,0.000,0.000,0.000,0.000
1.047,0.000,0.000,0.000,0.000
1.067,0.000,0.000,0.000,0.000
1.089,0.000,0.000,0.000,0.000
1.109,0.000,0.000,0.000,0.000
1.131,0.000,0.000,0.000,0.000
1.152,0.000,0.000,0.000,0.000
1.173,0.000,0.000,0.000,0.000
1.194,0.000,0.000,0.000,0.000
1.215,0.000,0.000,0.000,0.000
1.236,0.000,0.000,0.000,0.000
1.257,0.000,0.000,0.000,0.000
1.278,0.000,0.000,0.000,0.000
1.299,0.000,0.000,0.000,0.000
1.320,0.000,0.000,0.000,0.000
1.341,0.000,0.000,0.000,0.000
1.362,0.000,0.000,0.000,0.000
1.383,0.000,0.000,0.000,0.000
1.404,0.000,0.000,0.000,0.000
1.424,0.000,0.000,0.000,0.000
1.445,0.000,0.000,0.000,0.000
1.466,0.000,0.000,0.000,0.000
1.488,0.000,0.000,0.000,0.000
1.509,0.000,0.000,0.000,0.000
1.530,0.000,0.000,0.000,0.000
1.551,0.000,0.000,0.000,0.000
1.572,0.000,0.000,0.000,0.000
1.593,0.000,0.000,0.000,0.000
